Comment,Designator,Footprint,LCSC
"1u","C1","0402",""
"22uF","C2,C5","0402",""
"100n","C3,C7,C8,C9,C10,C11","0402",""
"100nF","C4","0402",""
"10uF","C6","0402",""
"MountingHole","H1","",""
"ESP32-WROOM-32E-N4","IC1","SMD-38P,18x25.5x3.1mm",""
"SI2333CDS-T1-E3","IC2,IC4,IC5","SOT-23",""
"AZ1117H-3.3TRE1","IC3","SOT-223-3",""
"3220-10-0300-00","J1","322010030000",""
"X6511WVS-08H-C60D48R1","J2","SMD,P=2.54mm(交错脚)",""
"X6511WVS-10H-C60D48R1","J3","HUSRSP10W66P254_2500X250X850P",""
"Conn_01x11","J4,J5","SMD,P=2.54mm(交错脚)",""
"503398-1892","J6","SMD",""
"WS2812B-2020","LED1","WS2812B2020",""
"TX","LED2","0603",""
"RX","LED3","0603",""
"3V3","LED4","0603",""
"10k","R1,R6","0402",""
"220","R2","0402",""
"1K","R3,R4,R5,R13,R14,R15","0402",""
"100K","R7,R8,R9,R10,R11,R12","0402",""
"SKRPABE010","S1,S2","SMD",""
"MMDT2907A-7-F","U1,U2,U3","SOT65P210X110-6N",""